PF,S_AST,S_TOV,S_BLK,game_count,FG_PCT_O,REB_O,PF_O,PTS_S_O,O_FGA_S_O,O_TRB_S_O,O_WIN_PCT,avg_conf_rank_ratio,matchtup_rank,wins_rank,PC4,game_series_away_D,conf_rank_wins_in_row_B,matchup_wins,stage,PC2,opp_game_vs_season,game_vs_opp_season,matchup_REB_r_s,MCA_0
25.0,33.97222222222222,18.55555555555556,4.486111111111111,2,0.449,50.0,23.0,117.1,88.9,42.2,0.585,1.466404358353511,130.11749999999998,39.96292478040998,0.10031887242990219,1,0,0.8035714285714286,1,-3.243505694101754,3,8,43.66666666666666,-0.18689504386724745
26.0,26.416666666666668,18.72222222222222,4.986111111111111,5,0.486,36.0,26.0,102.5,85.0,40.7,0.732,0.8357420189818809,129.48858333333337,48.90990257669732,-1.5249621711994161,1,0,0.7847222222222222,1,-2.6766032728000178,8,11,47.333333333333336,-0.6363482173877404
31.0,23.34722222222222,16.680555555555557,6.138888888888889,2,0.427,46.0,24.0,95.5,78.2,40.9,0.598,1.484449832375479,208.7282239583333,51.0,-0.2672444289352125,0,0,1.1958333333333333,1,-5.19587903768988,6,8,47.5,-0.20865084331135164
20.0,25.45833333333333,17.305555555555557,5.263888888888889,9,0.307,41.0,21.0,90.3,78.8,40.4,0.451,0.7859404800460614,191.0428577586207,97.0,1.8757650810149415,0,0,1.1896551724137931,2,8.57480974399744,12,5,37.25,0.653854293480298
23.0,25.80555555555556,15.569444444444445,4.541666666666667,4,0.4,52.0,23.0,107.2,84.3,44.3,0.512,1.5994368260799892,101.122,58.062445840513924,-1.1877305866864063,0,0,0.6363636363636364,1,-0.24486096760356132,2,11,39.25,0.20409923257069712
20.0,24.819444444444443,15.73611111111111,6.902777777777778,10,0.371,41.0,22.0,89.5,76.6,41.3,0.524,1.569146005509642,379.82375,76.18376618407356,-3.0207727302428244,1,0,2.5,2,3.1482857828968056,13,8,43.25,0.5073632602003488
21.0,24.59722222222222,15.63888888888889,7.541666666666667,20,0.471,44.0,18.0,88.4,79.2,39.6,0.598,0.946514423076923,318.58171428571427,68.7193000900063,5.8742133257833125,0,0,2.2857142857142856,4,3.43866098382213,8,5,38.0,0.4162159038110134
27.0,22.76388888888889,15.86111111111111,5.972222222222222,19,0.4,42.0,14.0,94.6,81.2,40.7,0.5,1.2989130434782608,568.442,74.01219330881975,1.9629647570916184,0,0,3.5,4,5.494993604938246,10,9,40.0,0.6417165979870691
25.25,26.83333333333333,19.069444444444443,5.597222222222222,1,0.4095,48.75,18.25,97.4,86.7,43.4,0.61,1.2864443699731902,138.6247159090909,50.738179909018385,-0.386578201314928,0,0,0.8522727272727273,1,-5.5297027432251245,9,9,41.0,-0.7754115548776942
22.0,23.375,18.5,4.597222222222222,2,0.464,46.0,25.0,96.7,75.4,40.1,0.744,1.2570621468926555,118.42671130952381,33.72792206135786,0.5783233128247183,1,0,0.7738095238095238,1,-9.223949308116476,3,8,43.75,-0.716233328265059
21.0,25.80555555555556,15.569444444444445,4.541666666666667,14,0.558,53.0,25.0,107.2,89.2,43.5,0.512,1.2074955189832166,449.5745454545454,62.062445840513924,-2.340115487535161,0,1,2.727272727272727,4,1.6985189575913713,5,13,39.25,0.5287575604303306
